N,K,p,lambda_sum,max_evals_per_run,num_parallel_runs,repetition,total_wall_time_s,best_energy,best_ar,most_probable_bitstring,selected_assets_count,constraint_satisfied
8,3,8,100,3,1,0,1.3841160829979344,-1400.0675535815394,N/A (Brute-force not feasible or not computed),01010010,3,True
8,3,8,100,3,2,0,1.537654207997548,-1400.0913710029781,N/A (Brute-force not feasible or not computed),01010010,3,True
8,3,8,100,3,3,0,1.6745747919994756,-1400.0783275832016,N/A (Brute-force not feasible or not computed),01010010,3,True
8,3,8,100,3,4,0,1.750093291993835,-1400.0875135413262,N/A (Brute-force not feasible or not computed),01010010,3,True
8,3,12,100,1,1,0,1.4439147090015467,-1400.0707267233402,N/A (Brute-force not feasible or not computed),10011000,3,True
8,3,12,100,1,2,0,1.623109125001065,-1400.0983046365996,N/A (Brute-force not feasible or not computed),10010100,3,True
8,3,12,100,1,3,0,1.7438719589990797,-1400.085465091317,N/A (Brute-force not feasible or not computed),01101000,3,True
8,3,12,100,1,4,0,1.8257299169999897,-1400.0788118959324,N/A (Brute-force not feasible or not computed),10010100,3,True
8,3,12,100,2,1,0,1.5459914159946493,-1400.0998293716427,N/A (Brute-force not feasible or not computed),10011000,3,True
8,3,12,100,2,2,0,1.7560917080045328,-1400.08444846643,N/A (Brute-force not feasible or not computed),10011000,3,True
8,3,12,100,2,3,0,1.726914292004949,-1400.0779571830699,N/A (Brute-force not feasible or not computed),10010100,3,True
8,3,12,100,2,4,0,1.8646085410000524,-1400.0774183212184,N/A (Brute-force not feasible or not computed),10011000,3,True
8,3,12,100,3,1,0,1.6632864170023822,-1400.085065394543,N/A (Brute-force not feasible or not computed),10010100,3,True
8,3,12,100,3,2,0,1.6510847910030861,-1400.0781910435035,N/A (Brute-force not feasible or not computed),10010100,3,True
8,3,12,100,3,3,0,1.773255666004843,-1400.0772941327884,N/A (Brute-force not feasible or not computed),10010100,3,True
8,3,12,100,3,4,0,1.8545727080054348,-1400.090104095503,N/A (Brute-force not feasible or not computed),01101000,3,True
12,4,1,100,1,1,0,1.375861291999172,-1600.1354950394068,N/A (Brute-force not feasible or not computed),000010100101,4,True
12,4,1,100,1,2,0,1.6041305830003694,-1600.1530075384264,N/A (Brute-force not feasible or not computed),000101001010,4,True
12,4,1,100,1,3,0,1.6475413749940344,-1600.1269360136748,N/A (Brute-force not feasible or not computed),000010101010,4,True
12,4,1,100,1,4,0,1.8861216250006692,-1600.1152162619762,N/A (Brute-force not feasible or not computed),000001010101,4,True
12,4,1,100,2,1,0,1.4273141669982579,-1600.150442665996,N/A (Brute-force not feasible or not computed),001001001010,4,True
12,4,1,100,2,2,0,1.666096209002717,-1600.1273519768913,N/A (Brute-force not feasible or not computed),000010101010,4,True
12,4,1,100,2,3,0,1.772374915999535,-1600.1165865325293,N/A (Brute-force not feasible or not computed),000100101010,4,True
12,4,1,100,2,4,0,1.820448041005875,-1600.1043295081129,N/A (Brute-force not feasible or not computed),000100101010,4,True
12,4,1,100,3,1,0,1.5065872089980985,-1600.1281156179573,N/A (Brute-force not feasible or not computed),000100101010,4,True
12,4,1,100,3,2,0,1.7251628329977393,-1600.1167378519558,N/A (Brute-force not feasible or not computed),010101010000,4,True
12,4,1,100,3,3,0,1.7920823329986888,-1600.1049826016226,N/A (Brute-force not feasible or not computed),001001010010,4,True
12,4,1,100,3,4,0,1.8595091250026599,-1600.112956215162,N/A (Brute-force not feasible or not computed),000101001010,4,True
12,4,4,100,1,1,0,1.4322680000041146,-1600.125830560422,N/A (Brute-force not feasible or not computed),000101001010,4,True
12,4,4,100,1,2,0,1.5535222920007072,-1600.0928864377427,N/A (Brute-force not feasible or not computed),000101001010,4,True
12,4,4,100,1,3,0,1.6630102089984575,-1600.1139117546218,N/A (Brute-force not feasible or not computed),001001001010,4,True
12,4,4,100,1,4,0,1.7782783750008093,-1600.138864332316,N/A (Brute-force not feasible or not computed),000100101010,4,True
12,4,4,100,2,1,0,1.4560524170010467,-1600.093222645138,N/A (Brute-force not feasible or not computed),000101001010,4,True
12,4,4,100,2,2,0,1.6573002500008442,-1600.1134076736355,N/A (Brute-force not feasible or not computed),000101001010,4,True
12,4,4,100,2,3,0,1.7869639999989886,-1600.1390131873623,N/A (Brute-force not feasible or not computed),000101001010,4,True
12,4,4,100,2,4,0,1.8760345000046073,-1600.1124531199168,N/A (Brute-force not feasible or not computed),000101001010,4,True
12,4,4,100,3,1,0,1.5031821670054342,-1600.1157747888874,N/A (Brute-force not feasible or not computed),000101001010,4,True
12,4,4,100,3,2,0,1.6865697499961243,-1600.138872662899,N/A (Brute-force not feasible or not computed),000101001010,4,True
12,4,4,100,3,3,0,1.80344779099687,-1600.1128921740146,N/A (Brute-force not feasible or not computed),000101001010,4,True
12,4,4,100,3,4,0,1.961419041006593,-1600.136730067103,N/A (Brute-force not feasible or not computed),001001001010,4,True
12,4,8,100,1,1,0,1.4866429999965476,-1600.104665877758,N/A (Brute-force not feasible or not computed),000101010010,4,True
12,4,8,100,1,2,0,1.649991541999043,-1600.123808095069,N/A (Brute-force not feasible or not computed),000101010010,4,True
12,4,8,100,1,3,0,1.7448272920009913,-1600.134813717865,N/A (Brute-force not feasible or not computed),000101010010,4,True
12,4,8,100,1,4,0,1.905693542001245,-1600.121328902067,N/A (Brute-force not feasible or not computed),000101010010,4,True
12,4,8,100,2,1,0,1.5192881250040955,-1600.1248366964858,N/A (Brute-force not feasible or not computed),000101001010,4,True
12,4,8,100,2,2,0,1.686772209002811,-1600.1350871961135,N/A (Brute-force not feasible or not computed),000101010010,4,True
12,4,8,100,2,3,0,1.8094601669945405,-1600.1216560325302,N/A (Brute-force not feasible or not computed),000101010010,4,True
12,4,8,100,2,4,0,1.8958480000001146,-1600.1175542543829,N/A (Brute-force not feasible or not computed),000101010010,4,True
12,4,8,100,3,1,0,1.5812919169984525,-1600.134344907645,N/A (Brute-force not feasible or not computed),000101010010,4,True
12,4,8,100,3,2,0,1.74902029200166,-1600.1213741505023,N/A (Brute-force not feasible or not computed),000101010010,4,True
12,4,8,100,3,3,0,1.8615910839944263,-1600.1176205619245,N/A (Brute-force not feasible or not computed),000101010100,4,True
12,4,8,100,3,4,0,1.985628042006283,-1600.1405325826822,N/A (Brute-force not feasible or not computed),000101010010,4,True
12,4,12,100,1,1,0,1.482012416003272,-1600.1131039238007,N/A (Brute-force not feasible or not computed),100001010010,4,True
12,4,12,100,1,2,0,1.648493665998103,-1600.141654747332,N/A (Brute-force not feasible or not computed),000100101010,4,True
12,4,12,100,1,3,0,1.740140916997916,-1600.1091560049595,N/A (Brute-force not feasible or not computed),010100001001,4,True
12,4,12,100,1,4,0,1.92364133400406,-1600.1149727676195,N/A (Brute-force not feasible or not computed),000100101010,4,True
12,4,12,100,2,1,0,1.5550026670025545,-1600.1414587869392,N/A (Brute-force not feasible or not computed),000100101010,4,True
12,4,12,100,2,2,0,1.715712249999342,-1600.1098338677682,N/A (Brute-force not feasible or not computed),010100001001,4,True
12,4,12,100,2,3,0,1.9178512090002187,-1600.1157146896526,N/A (Brute-force not feasible or not computed),100001010100,4,True
12,4,12,100,2,4,0,2.003221791004762,-1600.1250339292253,N/A (Brute-force not feasible or not computed),100001010100,4,True
12,4,12,100,3,1,0,1.6383774999994785,-1600.1077778105087,N/A (Brute-force not feasible or not computed),100001010010,4,True
12,4,12,100,3,2,0,1.786367667002196,-1600.1158237716554,N/A (Brute-force not feasible or not computed),100001010100,4,True
12,4,12,100,3,3,0,1.8888492080004653,-1600.1261154242143,N/A (Brute-force not feasible or not computed),010001010100,4,True
12,4,12,100,3,4,0,2.093639708997216,-1600.131570983151,N/A (Brute-force not feasible or not computed),100001010100,4,True
16,6,1,100,1,1,0,1.7516791660018498,-2000.0761687381435,N/A (Brute-force not feasible or not computed),0010010101001010,6,True
16,6,1,100,1,2,0,1.958474249993742,-2000.0769093382835,N/A (Brute-force not feasible or not computed),0001010101001010,6,True
16,6,1,100,1,3,0,2.145337624999229,-2000.0906349410197,N/A (Brute-force not feasible or not computed),0001010101001001,6,True
16,6,1,100,1,4,0,2.271715041002608,-2000.075223420569,N/A (Brute-force not feasible or not computed),0000101010101010,6,True
16,6,1,100,2,1,0,2.1629144580001594,-2000.0777023815992,N/A (Brute-force not feasible or not computed),0001010010101010,6,True
16,6,1,100,2,2,0,2.319438792001165,-2000.0907838630665,N/A (Brute-force not feasible or not computed),1010101000001010,6,True
16,6,1,100,2,3,0,2.5013921669960837,-2000.0743993527992,N/A (Brute-force not feasible or not computed),0000101010101010,6,True
16,6,1,100,2,4,0,2.72085520800465,-2000.0862666273772,N/A (Brute-force not feasible or not computed),0010101010010010,6,True
16,6,1,100,3,1,0,2.560737790998246,-2000.0896823800147,N/A (Brute-force not feasible or not computed),0101000010011010,6,True
16,6,1,100,3,2,0,2.7452979999943636,-2000.0749716380637,N/A (Brute-force not feasible or not computed),0000101010101010,6,True
16,6,1,100,3,3,0,2.9576982079961454,-2000.0870141176154,N/A (Brute-force not feasible or not computed),0010010010101010,6,True
16,6,1,100,3,4,0,3.147119291999843,-2000.0890867768558,N/A (Brute-force not feasible or not computed),0001010010010101,6,True
16,6,4,100,1,1,0,1.9590965829993365,-2000.0763616143884,N/A (Brute-force not feasible or not computed),0001010100101010,6,True
16,6,4,100,1,2,0,2.1754447919956874,-2000.088928760991,N/A (Brute-force not feasible or not computed),0001010101001010,6,True
16,6,4,100,1,3,0,2.339910124996095,-2000.091459222684,N/A (Brute-force not feasible or not computed),0001001010100101,6,True
16,6,4,100,1,4,0,2.4800495409945142,-2000.0889768393272,N/A (Brute-force not feasible or not computed),0001010010101010,6,True
16,6,4,100,2,1,0,2.5742838750011288,-2000.0880617519927,N/A (Brute-force not feasible or not computed),0001010001011010,6,True
16,6,4,100,2,2,0,2.725044833001448,-2000.0910153119191,N/A (Brute-force not feasible or not computed),0001010101001010,6,True
16,6,4,100,2,3,0,2.9332517919974634,-2000.0898968975225,N/A (Brute-force not feasible or not computed),0001010100101010,6,True
16,6,4,100,2,4,0,3.256698167002469,-2000.0888076331623,N/A (Brute-force not feasible or not computed),0001010010101010,6,True
16,6,4,100,3,1,0,3.104202875001647,-2000.090807873329,N/A (Brute-force not feasible or not computed),0001100100101010,6,True
16,6,4,100,3,2,0,3.2861230419948697,-2000.0887750264662,N/A (Brute-force not feasible or not computed),0001010010101010,6,True
16,6,4,100,3,3,0,3.463031083003443,-2000.088528853575,N/A (Brute-force not feasible or not computed),0010010100101010,6,True
16,6,4,100,3,4,0,3.9211468330031494,-2000.0973998939885,N/A (Brute-force not feasible or not computed),0010010010010101,6,True
16,6,8,100,1,1,0,2.1945995409987518,-2000.08175516278,N/A (Brute-force not feasible or not computed),1000010010101010,6,True
16,6,8,100,1,2,0,2.42310566699598,-2000.0938580627528,N/A (Brute-force not feasible or not computed),1000010100101010,6,True
16,6,8,100,1,3,0,2.510789041996759,-2000.0767941464876,N/A (Brute-force not feasible or not computed),0011001001010010,6,True
16,6,8,100,1,4,0,2.909991207998246,-2000.073651152236,N/A (Brute-force not feasible or not computed),0100100100100101,6,True
16,6,8,100,2,1,0,3.033648707998509,-2000.094052707336,N/A (Brute-force not feasible or not computed),1000010010101010,6,True
16,6,8,100,2,2,0,3.1781971250020433,-2000.0760115020623,N/A (Brute-force not feasible or not computed),0100010100101010,6,True
16,6,8,100,2,3,0,3.5100604580002255,-2000.0742625520822,N/A (Brute-force not feasible or not computed),1000010010101010,6,True
16,6,8,100,2,4,0,3.885623250003846,-2000.0862425532684,N/A (Brute-force not feasible or not computed),0011001001001010,6,True
16,6,8,100,3,1,0,3.749734583994723,-2000.0752632220367,N/A (Brute-force not feasible or not computed),0001011001001001,6,True
16,6,8,100,3,2,0,3.9629299590014853,-2000.0745316049852,N/A (Brute-force not feasible or not computed),0001011001001010,6,True
16,6,8,100,3,3,0,4.260248459002469,-2000.0860426020583,N/A (Brute-force not feasible or not computed),0100010010011010,6,True
16,6,8,100,3,4,0,4.795401666000544,-2000.0857730031246,N/A (Brute-force not feasible or not computed),1000010010101010,6,True
16,6,12,100,1,1,0,2.4918860830002814,-2000.08379353198,N/A (Brute-force not feasible or not computed),0010001010010101,6,True
16,6,12,100,1,2,0,2.9695767919984064,-2000.0859963005737,N/A (Brute-force not feasible or not computed),0001010101010010,6,True
16,6,12,100,1,3,0,3.000171917003172,-2000.0857642986985,N/A (Brute-force not feasible or not computed),0101000100101010,6,True
16,6,12,100,1,4,0,3.3167184999983874,-2000.07991284343,N/A (Brute-force not feasible or not computed),0110000101001010,6,True
16,6,12,100,2,1,0,3.5794410000016796,-2000.086513917732,N/A (Brute-force not feasible or not computed),1000001010101010,6,True
16,6,12,100,2,2,0,3.91036320800049,-2000.085842050404,N/A (Brute-force not feasible or not computed),0110000100100101,6,True
16,6,12,100,2,3,0,4.192732499999693,-2000.080946014156,N/A (Brute-force not feasible or not computed),0001010101010100,6,True
16,6,12,100,2,4,0,4.825757082995551,-2000.0847642267568,N/A (Brute-force not feasible or not computed),1000101010010010,6,True
16,6,12,100,3,1,0,4.559455041999172,-2000.0859624975524,N/A (Brute-force not feasible or not computed),0110000100101010,6,True
16,6,12,100,3,2,0,4.777410209004302,-2000.0804968966686,N/A (Brute-force not feasible or not computed),1010000100100101,6,True
16,6,12,100,3,3,0,5.037915166001767,-2000.0837153988211,N/A (Brute-force not feasible or not computed),0100001010101100,6,True
16,6,12,100,3,4,0,6.903006792002998,-2000.0746741699247,N/A (Brute-force not feasible or not computed),0101000100101010,6,True
20,8,1,100,1,1,0,12.546473458001856,-2400.0650218209607,N/A (Brute-force not feasible or not computed),00000101010101011010,8,True
20,8,1,100,1,2,0,18.484683666996716,-2400.0654050460316,N/A (Brute-force not feasible or not computed),00000100101011011010,8,True
20,8,1,100,1,3,0,23.18187337499694,-2400.0658398059873,N/A (Brute-force not feasible or not computed),00101010011001001001,8,True
20,8,1,100,1,4,0,26.84655241699511,-2400.0622447287983,N/A (Brute-force not feasible or not computed),01001001010101001010,8,True
20,8,1,100,2,1,0,23.959417583995673,-2400.0651317670936,N/A (Brute-force not feasible or not computed),01000000101010110110,8,True
20,8,1,100,2,2,0,33.719843082995794,-2400.065532636722,N/A (Brute-force not feasible or not computed),00001010011010101001,8,True
20,8,1,100,2,3,0,42.6479391249959,-2400.0617304108746,N/A (Brute-force not feasible or not computed),00000010110101101010,8,True
20,8,1,100,2,4,0,53.626753832999384,-2400.0678809345914,N/A (Brute-force not feasible or not computed),00010010101011010100,8,True
20,8,1,100,3,1,0,35.170048250001855,-2400.0655673583933,N/A (Brute-force not feasible or not computed),10110101000000101010,8,True
20,8,1,100,3,2,0,48.074263249996875,-2400.0624321390137,N/A (Brute-force not feasible or not computed),01010010101010100010,8,True
20,8,1,100,3,3,0,61.14529087499977,-2400.067263818716,N/A (Brute-force not feasible or not computed),10010000011010101001,8,True
20,8,1,100,3,4,0,78.06346333400143,-2400.062313350641,N/A (Brute-force not feasible or not computed),11010100100101010000,8,True
20,8,4,100,1,1,0,19.856467249999696,-2400.064733272876,N/A (Brute-force not feasible or not computed),00101010010100100101,8,True
20,8,4,100,1,2,0,25.910619083006168,-2400.069294194151,N/A (Brute-force not feasible or not computed),00101010001010101001,8,True
20,8,4,100,1,3,0,32.54601220799668,-2400.0596064186607,N/A (Brute-force not feasible or not computed),00010011010100101010,8,True
20,8,4,100,1,4,0,39.866305874995305,-2400.0570707425422,N/A (Brute-force not feasible or not computed),00010101010010101010,8,True
20,8,4,100,2,1,0,37.06928845799848,-2400.0695139002946,N/A (Brute-force not feasible or not computed),00101010000110001110,8,True
20,8,4,100,2,2,0,50.54828804200224,-2400.0581565733332,N/A (Brute-force not feasible or not computed),01000101010101001010,8,True
20,8,4,100,2,3,0,80.14330754199909,-2400.0575693232627,N/A (Brute-force not feasible or not computed),01001010010110100001,8,True
20,8,4,100,2,4,0,77.75280920800287,-2400.0597141042854,N/A (Brute-force not feasible or not computed),00101010100010011001,8,True
20,8,4,100,3,1,0,54.55483312499564,-2400.058448576496,N/A (Brute-force not feasible or not computed),00010100101100101010,8,True
20,8,4,100,3,2,0,74.52597283400246,-2400.0579794705714,N/A (Brute-force not feasible or not computed),00101010010001010101,8,True
20,8,4,100,3,3,0,93.34217791699484,-2400.060358577373,N/A (Brute-force not feasible or not computed),00010010101001101010,8,True
20,8,4,100,3,4,0,114.61488475000078,-2400.062354460214,N/A (Brute-force not feasible or not computed),00001011010101010010,8,True
20,8,8,100,1,1,0,28.015264041998307,-2400.063597580131,N/A (Brute-force not feasible or not computed),00011010010100101010,8,True
20,8,8,100,1,2,0,37.060189916002855,-2400.06233016473,N/A (Brute-force not feasible or not computed),01001001001011010010,8,True
20,8,8,100,1,3,0,46.923410375005915,-2400.0642903906987,N/A (Brute-force not feasible or not computed),10001001010010010101,8,True
20,8,8,100,1,4,0,57.275117292003415,-2400.059373711595,N/A (Brute-force not feasible or not computed),01100000101010101010,8,True
20,8,8,100,2,1,0,53.63109783300024,-2400.06261340816,N/A (Brute-force not feasible or not computed),01000101001010110010,8,True
20,8,8,100,2,2,0,72.37347112499992,-2400.063623444006,N/A (Brute-force not feasible or not computed),00011010010100101100,8,True
20,8,8,100,2,3,0,92.42311358400184,-2400.0595887542104,N/A (Brute-force not feasible or not computed),01001000101010101010,8,True
20,8,8,100,2,4,0,113.87346679199982,-2400.065534152077,N/A (Brute-force not feasible or not computed),00010011010010100101,8,True
20,8,8,100,3,1,0,81.97924800000328,-2400.0643918786827,N/A (Brute-force not feasible or not computed),00100101010101010010,8,True
20,8,8,100,3,2,0,105.4870514159993,-2400.0594425053623,N/A (Brute-force not feasible or not computed),01001001001010110010,8,True
20,8,8,100,3,3,0,135.8598710830047,-2400.065183807084,N/A (Brute-force not feasible or not computed),01000011010010010110,8,True
20,8,8,100,3,4,0,168.4761817499966,-2400.056525854201,N/A (Brute-force not feasible or not computed),01100010010100101001,8,True
20,8,12,100,1,1,0,36.50194045799435,-2400.062621228312,N/A (Brute-force not feasible or not computed),10100010100100101010,8,True
20,8,12,100,1,2,0,51.88277150000067,-2400.0537785438164,N/A (Brute-force not feasible or not computed),10000101010010011100,8,True
