N,K,p,num_parallel_runs,max_iterations_optimizer,num_shots_simulator,q,lambda_sum,transpilation_level,overall_runtime_seconds,best_overall_energy,approximation_ratio,E_min_classical,E_max_classical,num_successful_individual_runs,total_individual_runs_attempted,all_individual_energies
15,6,1,3,50,256,0.5,0,2,3.24623279098887,-0.1504289694248258,,,,3,3,"[-0.1504289694248258, -0.145594980073603, -0.14946912817722466]"
15,6,1,3,50,256,0.5,0,3,3.6363174580037594,-0.14810416024077555,,,,3,3,"[-0.14810416024077555, -0.1469358897467322, -0.14622031929851956]"
20,8,1,3,50,256,0.5,0,0,26.223592540991376,-0.1422488892202965,,,,3,3,"[-0.13898129968212716, -0.1422488892202965, -0.13993281187570358]"
20,8,1,3,50,256,0.5,0,1,26.282656333991326,-0.14028142121944084,,,,3,3,"[-0.1385064344939226, -0.14028142121944084, -0.1392116340296627]"
20,8,1,3,50,256,0.5,0,2,25.29145587499079,-0.1468040852092841,,,,3,3,"[-0.1468040852092841, -0.14348443686101864, -0.142410971649126]"
20,8,1,3,50,256,0.5,0,3,27.997277042013593,-0.14301403112963124,,,,3,3,"[-0.14120961669515983, -0.14044412865756314, -0.14301403112963124]"
22,8,1,3,50,256,0.5,0,0,96.74472320800123,-0.15612369838989656,,,,3,3,"[-0.15510861829897574, -0.15612369838989656, -0.1501395539199842]"
22,8,1,3,50,256,0.5,0,1,101.31025183299789,-0.1544827308622978,,,,3,3,"[-0.15165122604878428, -0.14766777518936408, -0.1544827308622978]"
22,8,1,3,50,256,0.5,0,2,76.2374679580098,-0.1559194830943651,,,,3,3,"[-0.15030965211057803, -0.1559194830943651, -0.14883853400896427]"
22,8,1,3,50,256,0.5,0,3,87.17349187500076,-0.15479772381467566,,,,3,3,"[-0.15479772381467566, -0.14998883388807652, -0.15454605158367016]"
