N,K,p,num_parallel_runs,max_iterations_optimizer,num_shots_simulator,q,lambda_sum,transpilation_level,overall_runtime_seconds,best_overall_energy,approximation_ratio,E_min_classical,E_max_classical,num_successful_individual_runs,total_individual_runs_attempted,all_individual_energies,mean_nfev_per_run,mean_avg_circuit_build_time_per_call,mean_avg_transpile_time_per_call,mean_avg_execute_time_per_call,mean_avg_energy_calc_time_per_call
22,8,1,3,50,256,0.5,0.5,3,94.88054133299738,-2.1945388570942144,,,,3,3,"[-2.1945388570942144, -1.9500264751203786, -2.0691658796337378]",28.0,0.0026356405878543206,0.05654626232680119,2.9695114695448535,0.05346324237434646
25,10,1,3,50,256,0.5,0.5,0,906.9273912920034,-1.5026960502642788,,,,3,3,"[-1.5026960502642788, -1.359068320282089, -1.3337334010977397]",28.333333333333332,0.003469310549215992,0.03617580128561785,31.024841773290945,0.0707932135355798
25,10,1,3,50,256,0.5,0.5,1,959.2399707500008,-2.832527070064641,,,,3,3,"[-1.6331835123132208, -1.0785068868044554, -2.832527070064641]",30.333333333333332,0.003570832579196676,0.04150213366494274,30.454691038842014,0.07545719386802989
25,10,1,3,50,256,0.5,0.5,2,800.2901302919927,-1.3143649944278084,,,,3,3,"[-1.188108355782018, -1.2957871397059282, -1.3143649944278084]",26.666666666666668,0.0037006207192315584,0.04789082342499185,28.088329879608015,0.06855914174311126
25,10,1,3,50,256,0.5,0.5,3,773.7761684159923,-1.7376595694337156,,,,3,3,"[-1.7376595694337156, -1.3973775314315173, -1.6228668804898396]",28.333333333333332,0.0034597814883795424,0.06863815441918864,24.620681533050917,0.07038743862098201
5,2,1,8,50,256,0.5,0.5,0,3.9328466250008205,-0.2853800492250873,,,,8,8,"[0.13452494488816194, 0.08984842428345373, -0.05025821701262592, 0.1376017854683288, -0.05958405073859721, -0.2853800492250873, 0.06133250537890708, 0.04201488597978494]",28.625,0.0004088531926723773,0.03690595493042689,0.00383028695587466,0.0004899058474943119
5,2,1,8,50,256,0.5,0.5,1,3.8830198329960695,-0.21997164013083723,,,,8,8,"[0.00454300700218601, -0.08603102952917636, -0.06659101363475467, -0.013228245074006764, 0.015402296030584402, -0.08090891910073175, -0.15169426131478514, -0.21997164013083723]",29.375,0.0003979727098482381,0.04079175980508892,0.004381729701791345,0.00047927130640521535
5,2,1,8,50,256,0.5,0.5,2,3.955746041989187,-0.22219514722646966,,,,8,8,"[0.012886874186815485, -0.040868247871082855, -0.22219514722646966, 0.036057291313527425, -0.18077680531319348, -0.09081856760414912, -0.004596667283225497, -0.035960556462419205]",29.875,0.0004158054628058721,0.042961994534737556,0.004228189397069192,0.0005129005479406455
5,2,1,8,50,256,0.5,0.5,3,3.9870512089983094,-0.3080537592458415,,,,8,8,"[-0.170684165280474, 0.013817257924817923, -0.024751322478002123, 0.16862101206407848, -0.13241400932712186, 0.09138147950585002, 0.16157420079181897, -0.3080537592458415]",30.125,0.00039219951737841423,0.043063433566950915,0.0038365135959017027,0.00047202038187499313
8,3,1,8,50,256,0.5,0.5,0,3.922623249993194,-0.9697257276424259,,,,8,8,"[-0.7270723660337375, -0.6134348006123024, -0.899501599406286, -0.9697257276424259, -0.7173120935351007, -0.5978268929362333, -0.7632088059268957, -0.6971515214124477]",28.0,0.000717670651013857,0.03739388437252073,0.005292233988476094,0.005209825660456643
8,3,1,8,50,256,0.5,0.5,1,4.023556333995657,-0.9012092162518709,,,,8,8,"[-0.6779649637175788, -0.9012092162518709, -0.7954193605943162, -0.8281655941144458, -0.6836776043524776, -0.8020581208874883, -0.7458732731493044, -0.7385864152516513]",29.5,0.0006999398774580621,0.03851959857860679,0.005137990739390666,0.005471572767308197
8,3,1,8,50,256,0.5,0.5,2,4.106956667004852,-1.1511560049717033,,,,8,8,"[-0.6711847765761766, -1.1511560049717033, -0.6573226240276709, -0.8513505197918452, -0.7531687056458318, -0.5898967016634338, -0.682904554610105, -0.6592725095218707]",29.125,0.0006991323619825158,0.04105511479499554,0.005629824763469377,0.0050741023227167765
8,3,1,8,50,256,0.5,0.5,3,4.253649249993032,-0.9924291586306949,,,,8,8,"[-0.8166989922526605, -0.8212969169523731, -0.8808255398044923, -0.7785115265883088, -0.7799803766598071, -0.8795604424335902, -0.9924291586306949, -0.68891786645049]",29.625,0.0006847416894444705,0.043264367934310086,0.005270177342912479,0.004943445294868828
10,4,1,8,50,256,0.5,0.5,0,4.176586250003311,-0.6676813142761839,,,,8,8,"[-0.4130787991949461, -0.40780822032883485, -0.37459419174386566, -0.3684465164653021, -0.6676813142761839, -0.44935471631602736, -0.3018924187706107, -0.4036465000331093]",29.125,0.0007745739520912974,0.036395251671970295,0.0071498233742250455,0.011315888952651468
10,4,1,8,50,256,0.5,0.5,1,4.137705458007986,-0.6330563066352947,,,,8,8,"[-0.6330563066352947, -0.36490960089444374, -0.3078190012424868, -0.34469646613288674, -0.5837023742692825, -0.5157128659629963, -0.5283399761657356, -0.43843815827906024]",28.375,0.0007901276703190806,0.03750987293047381,0.006855168900998346,0.011776680994220606
10,4,1,8,50,256,0.5,0.5,2,4.330374750003102,-0.7806288811162231,,,,8,8,"[-0.32655320620932315, -0.5216967291834903, -0.536923788684571, -0.30057917724056843, -0.4808882003519167, -0.7806288811162231, -0.5537639004789807, -0.37628088691951855]",29.75,0.0007803401196940172,0.04085806068935209,0.0064657636881684825,0.011266927428420996
10,4,1,8,50,256,0.5,0.5,3,4.344586792009068,-0.6040083453194884,,,,8,8,"[-0.3788789212208904, -0.41378481263949773, -0.36248650006447203, -0.4843894672421236, -0.6040083453194884, -0.44781846937353803, -0.37994745169837885, -0.5720715616964327]",27.875,0.0007898229825951191,0.04440071128065461,0.0064668389315788504,0.011360751072037809
15,6,1,8,50,256,0.5,0.5,0,7.75614191700879,-2.2238853208266094,,,,8,8,"[-1.2146273962252592, -1.6508954190541032, -1.4435640707634243, -1.3509344658367954, -1.3490434000318423, -1.3387935084006093, -2.2238853208266094, -1.379527376809936]",28.75,0.0011777606954125179,0.027487497904730044,0.11797594206601811,0.021865985625136298
15,6,1,8,50,256,0.5,0.5,1,7.714297124999575,-1.449376695693757,,,,8,8,"[-1.4322727494340062, -1.449376695693757, -1.3341417701144112, -1.3587414029919667, -1.344631428526548, -1.242691891506511, -1.4004310553184414, -1.4470250636506632]",29.875,0.0012017580025187977,0.028206598306427036,0.11527765414883671,0.02195466807091719
15,6,1,8,50,256,0.5,0.5,2,7.499054375002743,-1.6186671221614783,,,,8,8,"[-1.6186671221614783, -1.434050724017882, -1.4680771061697429, -1.4411939355842875, -1.5352179485467903, -1.2880425019929784, -1.5696429806705394, -1.363797503607791]",27.75,0.0011005483630528133,0.02940888632186554,0.12265444419394946,0.021243205875161923
15,6,1,8,50,256,0.5,0.5,3,7.48363570800575,-1.9141323659875022,,,,8,8,"[-1.542661571001998, -1.3458701275748837, -1.4632684846360449, -1.6122842271060656, -1.34463095318771, -1.4961092856927796, -1.4919970561017868, -1.9141323659875022]",29.125,0.0011169880499065572,0.034118823552875974,0.11141388052752843,0.021699466233566243
20,8,1,8,50,256,0.5,0.5,0,67.96696458400402,-3.202119684234831,,,,8,8,"[-3.1003296577569106, -3.0590889386134, -3.12699129748394, -2.8728422432796257, -2.8081872052883843, -3.202119684234831, -2.8039042778464167, -2.757987904798786]",27.875,0.002141292187152592,0.03122108482451309,2.177003232369999,0.042126944231024796
20,8,1,8,50,256,0.5,0.5,1,71.33392687499872,-3.0584634063705387,,,,8,8,"[-2.531362982550822, -2.685023379328248, -2.741866433403942, -2.8147032596119583, -3.0584634063705387, -2.8085909609981963, -2.9182628624117157, -2.9797485865871662]",28.5,0.0020765324137145373,0.032812703458613826,2.1463181986648787,0.04212215358846911
20,8,1,8,50,256,0.5,0.5,2,62.464591208001366,-3.1053985453353743,,,,8,8,"[-2.929042852742691, -3.1053985453353743, -2.423905015847015, -2.7180290279959793, -2.5442926390647553, -2.964697669989295, -2.5596747100430983, -2.490030055022227]",26.5,0.0021352827798714284,0.03920822973448658,2.0024751142032917,0.04216595449268501
20,8,1,8,50,256,0.5,0.5,3,62.04393950001395,-2.9189721172042056,,,,8,8,"[-2.7429384800487338, -2.760853964972246, -2.6165652301055116, -2.9146159630367747, -2.8199909352957757, -2.9189721172042056, -2.6983541442329773, -2.6977659574670785]",28.375,0.0021555287753293054,0.0456703606232402,1.8890896891002213,0.04207148330887756
22,8,1,8,50,256,0.5,0.5,0,264.65029091600445,-4.037708495394344,,,,8,8,"[-1.5448312856290876, -1.9354876759491497, -4.037708495394344, -1.5600767495484447, -1.8691356498205733, -1.8611975103578988, -1.6090941498456415, -1.8035501988032383]",30.75,0.004395061875955483,0.061246516666409574,7.775036942498735,0.06632959562172425
22,8,1,8,50,256,0.5,0.5,1,236.44687787500152,-2.1259854945120265,,,,8,8,"[-1.7993822821980536, -1.670394250842952, -1.8625980261425699, -1.2503956731715464, -1.922777647269286, -1.7307369743005876, -1.6187474063902785, -2.1259854945120265]",27.75,0.0036515988857235607,0.07154979128517833,7.877829019305095,0.06409145795475982
22,8,1,8,50,256,0.5,0.5,2,233.74769725000078,-2.1244948193447515,,,,8,8,"[-2.049097082164855, -1.7759683470653247, -2.0035095771335008, -1.4659863777777642, -2.1244948193447515, -1.455510206868308, -1.2871899496042285, -1.5844591987003032]",27.75,0.004543601261798907,0.07190342655097118,7.894857237245344,0.06520501975290412
22,8,1,8,50,256,0.5,0.5,3,200.10423654099577,-2.02252786761524,,,,8,8,"[-1.6947383868562271, -1.548520221422377, -1.8448024385820894, -1.7162491661973722, -1.5229311353320458, -1.7341485804753747, -2.02252786761524, -1.6202686538603779]",30.0,0.003697986327337437,0.07439981055432356,5.792456246910991,0.06149626091622205
25,10,1,8,50,256,0.5,0.5,0,2404.977568083006,-2.3301322376015774,,,,8,8,"[-1.5424765591199332, -0.9402743141355859, -1.6019930835988043, -1.412797731291054, -2.3301322376015774, -1.329050699118594, -1.5468574479949586, -1.5599423353827568]",29.75,0.02346146056095263,0.260510090690356,77.70278870862805,0.23048177124084968
25,10,1,8,50,256,0.5,0.5,1,2258.867027250002,-2.0346751264115066,,,,8,8,"[-1.4536746792532333, -1.4140078566997258, -1.7050578403566354, -2.0346751264115066, -1.53084711745931, -1.4014286149377477, -1.3159877526065311, -1.0773000527983403]",27.75,0.02570065954845224,0.27256769818298293,77.5273248515087,0.22621817845208123
25,10,1,8,50,256,0.5,0.5,2,2176.7666318330157,-1.8195171689354621,,,,8,8,"[-1.5067750996940041, -1.8195171689354621, -1.541087371888736, -1.4253018373047266, -1.513910532868976, -1.403135914421223, -1.5921426635466083, -1.3662162941320657]",27.5,0.021786653100956056,0.3067916119629829,74.9928982915552,0.22728390501255274
25,10,1,8,50,256,0.5,0.5,3,2018.4688175000192,-1.4317451909947132,,,,8,8,"[-1.0744183582481324, -1.3824750589682833, -1.2505550494670348, -1.0626678866890937, -1.2433234516398675, -1.0832528651747457, -1.1289454876087466, -1.4317451909947132]",27.75,0.025527631930309536,0.40979279613612396,67.59099779713632,0.22035052123868015
