n,TTS_process_time,TTS_clock_time,node_count,runid
10,0.15803550000000022,0.027093887329101562,95,0
10,0.12236629999999993,0.021416902542114258,95,1
10,0.12330540000000001,0.022115468978881836,95,2
10,0.09732990000000008,0.01736593246459961,95,3
10,0.08950260000000032,0.015558242797851562,95,4
11,0.18732260000000034,0.028319597244262695,383,0
11,0.22655270000000005,0.03247475624084473,383,1
11,0.1949441000000003,0.028615713119506836,383,2
11,0.1889984,0.02768993377685547,383,3
11,0.1755637000000001,0.0255889892578125,383,4
12,0.10299959999999997,0.017310380935668945,95,0
12,0.11320620000000003,0.01791858673095703,95,1
12,0.12422370000000038,0.01955389976501465,95,2
12,0.10475220000000007,0.01672220230102539,95,3
12,0.1014835999999999,0.016643762588500977,95,4
13,0.3452293000000002,0.04741501808166504,559,0
13,0.3374581000000001,0.046504974365234375,559,1
13,0.32899369999999983,0.045128583908081055,559,2
13,0.31971419999999995,0.04423832893371582,559,3
13,0.3734016999999996,0.05123543739318848,559,4
14,0.22479959999999988,0.032765865325927734,143,0
14,0.24230660000000004,0.03430938720703125,143,1
14,0.24045249999999996,0.03493165969848633,143,2
14,0.21548940000000005,0.031078338623046875,143,3
14,0.26423929999999984,0.03815436363220215,143,4
15,0.28727630000000026,0.04062771797180176,135,0
15,0.4396136999999998,0.06072878837585449,135,1
15,0.4746415000000006,0.06526064872741699,135,2
15,0.28328039999999977,0.041429996490478516,135,3
15,0.2637847000000004,0.03753185272216797,135,4
16,0.9447352000000002,0.12449526786804199,975,0
16,1.0895095000000001,0.14237666130065918,975,1
16,0.9903794000000001,0.12950825691223145,975,2
16,1.0963507000000003,0.1422405242919922,975,3
16,1.2640545000000003,0.16590070724487305,975,4
17,2.7025153,0.3534657955169678,3138,0
17,1.7336497000000008,0.22582769393920898,1887,1
17,2.5732453000000035,0.34960198402404785,1303,2
17,1.9095255000000009,0.25012850761413574,1887,3
17,2.0598611000000027,0.27332305908203125,1887,4
18,1.1582198000000012,0.15196728706359863,623,0
18,0.9677028000000014,0.12787961959838867,623,1
18,0.8761410000000005,0.11526942253112793,623,2
18,1.1532337000000012,0.1593492031097412,623,3
18,1.0203565999999995,0.13325142860412598,623,4
19,14.776324800000001,1.883481740951538,7977,0
19,17.5666298,2.2150590419769287,11117,1
19,19.949197299999994,2.545989990234375,13879,2
19,11.840117000000006,1.4945752620697021,6867,3
19,7.759432000000004,0.9809253215789795,4669,4
20,2.4597260999999975,0.31744909286499023,1785,0
20,7.35002080000001,0.9334006309509277,3838,1
20,3.6395789999999977,0.46703147888183594,2599,2
20,2.1378111999999874,0.2755551338195801,1273,3
20,6.882635400000012,0.8718526363372803,3774,4
21,37.46343909999999,4.7194130420684814,16840,0
21,94.08145029999997,11.87552261352539,35403,1
21,66.31206399999996,8.5769681930542,19811,2
21,51.7639059,6.53863525390625,13452,3
21,130.16111690000002,16.421815156936646,35811,4
