n,process_time,clock_time,runid
3,0.018063582999999994,0.014892339706420898,0
3,0.016828830000000017,0.015439987182617188,1
3,0.015646351999999975,0.011853456497192383,2
3,0.01615892699999999,0.015176057815551758,3
3,0.016736289000000015,0.013901948928833008,4
3,0.015946503,0.014659643173217773,5
3,0.015164811999999861,0.012224912643432617,6
3,0.015787063999999962,0.012799263000488281,7
3,0.016964608999999964,0.01901412010192871,8
3,0.016103846999999893,0.013488531112670898,9
3,0.015979839999999967,0.01520848274230957,10
3,0.016562807999999984,0.013676881790161133,11
3,0.01737739100000013,0.019058704376220703,12
3,0.014887633999999927,0.011649847030639648,13
3,0.021228768000000064,0.024464845657348633,14
3,0.015979857999999902,0.013211488723754883,15
3,0.015613234000000142,0.0185239315032959,16
3,0.016504102000000076,0.014752626419067383,17
3,0.01699354799999986,0.013151407241821289,18
3,0.01633441999999996,0.013708829879760742,19
3,0.016593481999999993,0.015169382095336914,20
3,0.020318696000000136,0.01802349090576172,21
3,0.017606482000000145,0.014684438705444336,22
3,0.016566093999999865,0.014135360717773438,23
3,0.01781669000000008,0.027035951614379883,24
3,0.017139526999999877,0.019406557083129883,25
3,0.016372977000000066,0.013138532638549805,26
3,0.016097932000000093,0.013422489166259766,27
3,0.016991699999999943,0.012109041213989258,28
3,0.01605253399999995,0.01160120964050293,29
3,0.014934315999999948,0.010499715805053711,30
3,0.01532461900000004,0.011126279830932617,31
3,0.014542037999999868,0.010173320770263672,32
3,0.01525578900000002,0.015177726745605469,33
3,0.014927732999999943,0.011888504028320312,34
3,0.01585099599999995,0.012511730194091797,35
3,0.015838282000000037,0.012484073638916016,36
3,0.01626625699999984,0.012513160705566406,37
3,0.015000444000000002,0.011596441268920898,38
3,0.015865699999999983,0.013735294342041016,39
3,0.015240503000000016,0.011883020401000977,40
3,0.015864958000000096,0.013539552688598633,41
3,0.01624590799999992,0.013037681579589844,42
3,0.015037124000000013,0.012941837310791016,43
3,0.01479076800000012,0.010934591293334961,44
3,0.01600924199999998,0.012911081314086914,45
3,0.015472597000000032,0.011863231658935547,46
3,0.015877660999999765,0.013350963592529297,47
3,0.016065981000000118,0.013405561447143555,48
3,0.014851579000000115,0.011707305908203125,49
3,0.014936244999999904,0.010863304138183594,50
