n,CPLEX_TTS_process_time,CPLEX_TTS_clock_time,runid
3,0.018823279000000026,0.012446880340576172,0
3,0.016278157999999987,0.010395050048828125,1
3,0.015851145000000066,0.010216236114501953,2
3,0.016043625000000006,0.010178804397583008,3
3,0.015831133999999913,0.010110139846801758,4
3,0.015979935999999917,0.010257482528686523,5
3,0.016195422999999654,0.010313749313354492,6
3,0.01556580899999993,0.00987863540649414,7
3,0.01569000499999973,0.010175228118896484,8
3,0.015923867000000147,0.010044574737548828,9
3,0.01597946799999983,0.010172367095947266,10
3,0.01609586399999996,0.010282039642333984,11
3,0.015892362999999854,0.01008749008178711,12
3,0.015623748999999965,0.009915351867675781,13
3,0.015809968999999757,0.010137319564819336,14
3,0.01574558700000006,0.009990215301513672,15
3,0.015719128000000193,0.01002192497253418,16
3,0.016266275999999635,0.010476827621459961,17
3,0.015993267999999894,0.010283946990966797,18
3,0.015936921000000215,0.01023721694946289,19
3,0.015733822999999703,0.010012149810791016,20
3,0.015838836000000356,0.010166645050048828,21
3,0.01564067300000005,0.010048151016235352,22
3,0.015817511000000284,0.010053873062133789,23
3,0.01583666500000014,0.01008749008178711,24
3,0.015778759000000253,0.01006937026977539,25
3,0.016018056999999697,0.010302066802978516,26
3,0.015760494999999874,0.010079145431518555,27
3,0.01568884699999984,0.010144233703613281,28
3,0.015888012999999646,0.010111093521118164,29
3,0.015979297000000336,0.010222196578979492,30
3,0.016052120999999975,0.01030111312866211,31
3,0.015837079000000198,0.010194540023803711,32
3,0.01606671199999976,0.01031637191772461,33
3,0.015727752000000095,0.010060548782348633,34
3,0.01562182299999959,0.010154485702514648,35
3,0.0157397239999999,0.010040044784545898,36
3,0.015805923000000277,0.010092973709106445,37
3,0.015824011000000304,0.010082244873046875,38
3,0.015934369000000004,0.010226249694824219,39
3,0.015927446000000067,0.010178327560424805,40
3,0.015875659999999847,0.010179758071899414,41
3,0.015767824999999736,0.010213613510131836,42
3,0.015695496999999836,0.010031461715698242,43
3,0.015686599999999995,0.010031700134277344,44
3,0.016018753999999635,0.010300636291503906,45
3,0.01597837199999974,0.010236024856567383,46
3,0.016100793999999752,0.010403871536254883,47
3,0.015918093999999883,0.010206222534179688,48
3,0.016397516000000056,0.010501384735107422,49
3,0.01610920600000032,0.010366439819335938,50
3,0.016247714999999996,0.010369300842285156,51
3,0.016597678000000116,0.01043844223022461,52
3,0.016156059000000056,0.010392904281616211,53
3,0.01616565000000003,0.010463714599609375,54
3,0.01564580200000032,0.009974956512451172,55
3,0.016104932000000183,0.010355234146118164,56
3,0.015973377999999983,0.010262489318847656,57
3,0.01603644599999976,0.010324716567993164,58
3,0.015999772000000245,0.010274171829223633,59
3,0.016046575999999924,0.010310649871826172,60
3,0.01597709500000022,0.01038670539855957,61
3,0.015745204999999984,0.010061502456665039,62
3,0.016040605000000152,0.010288476943969727,63
3,0.016040293999999733,0.010290861129760742,64
3,0.01605107600000011,0.010332107543945312,65
